Feature_Name,Original_Dataset,Original_Column,Modality,Data_Type,Numerical_Categorical,Target_Variable,Missing_Percentage,Unique_Values,Description,Clinical_Meaning,Transformation_Applied,Normalization_Required,Recommended_ML_Encoding,Recommended_DL_Encoding,Suitable_for_GNN,Suitable_for_Explainability,Suitable_for_Inference
Geria_GDSHOPLS,Infer_Clinical,GDSHOPLS,Clinical,float64,Categorical,No,36.36,2,Auto-extracted feature Geria_GDSHOPLS,Requires manual annotation,Prefix standardized,No,OneHot/Ordinal,Embedding,Yes,Yes,Yes
Geria_GDSBETER,Infer_Clinical,GDSBETER,Clinical,float64,Categorical,No,36.36,2,Auto-extracted feature Geria_GDSBETER,Requires manual annotation,Prefix standardized,No,OneHot/Ordinal,Embedding,Yes,Yes,Yes
Geria_ORIG_ENTRY,Infer_Clinical,ORIG_ENTRY,Clinical,str,Categorical,No,36.34,187,Auto-extracted feature Geria_ORIG_ENTRY,Requires manual annotation,Prefix standardized,No,OneHot/Ordinal,Embedding,Yes,Yes,Yes
Geria_LAST_UPDATE,Infer_Clinical,LAST_UPDATE,Clinical,str,Categorical,No,36.34,2969,Auto-extracted feature Geria_LAST_UPDATE,Requires manual annotation,Prefix standardized,No,OneHot/Ordinal,Embedding,Yes,Yes,Yes
Neuro_REC_ID,Infer_Clinical,REC_ID,Clinical,str,Categorical,No,53.2,4119,Auto-extracted feature Neuro_REC_ID,Requires manual annotation,Prefix standardized,No,OneHot/Ordinal,Embedding,Yes,Yes,Yes
Neuro_PAG_NAME,Infer_Clinical,PAG_NAME,Clinical,str,Categorical,No,53.2,1,Auto-extracted feature Neuro_PAG_NAME,Requires manual annotation,Prefix standardized,No,OneHot/Ordinal,Embedding,Yes,Yes,Yes
Neuro_MTRRSP,Infer_Clinical,MTRRSP,Clinical,float64,Categorical,No,53.2,4,Auto-extracted feature Neuro_MTRRSP,Requires manual annotation,Prefix standardized,No,OneHot/Ordinal,Embedding,Yes,Yes,Yes
Neuro_CORDRSP,Infer_Clinical,CORDRSP,Clinical,float64,Categorical,No,53.2,4,Auto-extracted feature Neuro_CORDRSP,Requires manual annotation,Prefix standardized,No,OneHot/Ordinal,Embedding,Yes,Yes,Yes
Neuro_SENRSP,Infer_Clinical,SENRSP,Clinical,float64,Categorical,No,53.2,4,Auto-extracted feature Neuro_SENRSP,Requires manual annotation,Prefix standardized,No,OneHot/Ordinal,Embedding,Yes,Yes,Yes
Neuro_RFLXRSP,Infer_Clinical,RFLXRSP,Clinical,float64,Categorical,No,53.2,4,Auto-extracted feature Neuro_RFLXRSP,Requires manual annotation,Prefix standardized,No,OneHot/Ordinal,Embedding,Yes,Yes,Yes
Neuro_PLRRRSP,Infer_Clinical,PLRRRSP,Clinical,float64,Categorical,No,78.62,5,Auto-extracted feature Neuro_PLRRRSP,Requires manual annotation,Prefix standardized,No,OneHot/Ordinal,Embedding,Yes,Yes,Yes
Neuro_PLRLRSP,Infer_Clinical,PLRLRSP,Clinical,float64,Categorical,No,78.62,5,Auto-extracted feature Neuro_PLRLRSP,Requires manual annotation,Prefix standardized,No,OneHot/Ordinal,Embedding,Yes,Yes,Yes
Neuro_GAITRSP,Infer_Clinical,GAITRSP,Clinical,float64,Categorical,No,74.59,4,Auto-extracted feature Neuro_GAITRSP,Requires manual annotation,Prefix standardized,No,OneHot/Ordinal,Embedding,Yes,Yes,Yes
Neuro_MNTLRSP,Infer_Clinical,MNTLRSP,Clinical,float64,Categorical,No,74.59,2,Auto-extracted feature Neuro_MNTLRSP,Requires manual annotation,Prefix standardized,No,OneHot/Ordinal,Embedding,Yes,Yes,Yes
Neuro_CNRSP,Infer_Clinical,CNRSP,Clinical,float64,Categorical,No,53.2,4,Auto-extracted feature Neuro_CNRSP,Requires manual annotation,Prefix standardized,No,OneHot/Ordinal,Embedding,Yes,Yes,Yes
Neuro_ORIG_ENTRY,Infer_Clinical,ORIG_ENTRY,Clinical,str,Categorical,No,53.2,176,Auto-extracted feature Neuro_ORIG_ENTRY,Requires manual annotation,Prefix standardized,No,OneHot/Ordinal,Embedding,Yes,Yes,Yes
Neuro_LAST_UPDATE,Infer_Clinical,LAST_UPDATE,Clinical,str,Categorical,No,53.2,2305,Auto-extracted feature Neuro_LAST_UPDATE,Requires manual annotation,Prefix standardized,No,OneHot/Ordinal,Embedding,Yes,Yes,Yes
SCOPA_REC_ID,Infer_SCOPA,REC_ID,SCOPA,str,Categorical,No,36.28,5609,Auto-extracted feature SCOPA_REC_ID,Requires manual annotation,Prefix standardized,No,OneHot/Ordinal,Embedding,Yes,Yes,Yes
SCOPA_PAG_NAME,Infer_SCOPA,PAG_NAME,SCOPA,str,Categorical,No,36.28,1,Auto-extracted feature SCOPA_PAG_NAME,Requires manual annotation,Prefix standardized,No,OneHot/Ordinal,Embedding,Yes,Yes,Yes
SCOPA_PTCGBOTH,Infer_SCOPA,PTCGBOTH,SCOPA,float64,Categorical,No,36.28,3,Auto-extracted feature SCOPA_PTCGBOTH,Requires manual annotation,Prefix standardized,No,OneHot/Ordinal,Embedding,Yes,Yes,Yes
SCOPA_SCAU1,Infer_SCOPA,SCAU1,SCOPA,float64,Categorical,No,36.3,4,Auto-extracted feature SCOPA_SCAU1,Requires manual annotation,Prefix standardized,No,OneHot/Ordinal,Embedding,Yes,Yes,Yes
SCOPA_SCAU2,Infer_SCOPA,SCAU2,SCOPA,float64,Categorical,No,36.29,4,Auto-extracted feature SCOPA_SCAU2,Requires manual annotation,Prefix standardized,No,OneHot/Ordinal,Embedding,Yes,Yes,Yes
SCOPA_SCAU3,Infer_SCOPA,SCAU3,SCOPA,float64,Categorical,No,36.29,4,Auto-extracted feature SCOPA_SCAU3,Requires manual annotation,Prefix standardized,No,OneHot/Ordinal,Embedding,Yes,Yes,Yes
SCOPA_SCAU4,Infer_SCOPA,SCAU4,SCOPA,float64,Categorical,No,36.29,4,Auto-extracted feature SCOPA_SCAU4,Requires manual annotation,Prefix standardized,No,OneHot/Ordinal,Embedding,Yes,Yes,Yes
SCOPA_SCAU5,Infer_SCOPA,SCAU5,SCOPA,float64,Categorical,No,36.29,4,Auto-extracted feature SCOPA_SCAU5,Requires manual annotation,Prefix standardized,No,OneHot/Ordinal,Embedding,Yes,Yes,Yes
SCOPA_SCAU6,Infer_SCOPA,SCAU6,SCOPA,float64,Categorical,No,36.29,4,Auto-extracted feature SCOPA_SCAU6,Requires manual annotation,Prefix standardized,No,OneHot/Ordinal,Embedding,Yes,Yes,Yes
SCOPA_SCAU7,Infer_SCOPA,SCAU7,SCOPA,float64,Categorical,No,36.37,4,Auto-extracted feature SCOPA_SCAU7,Requires manual annotation,Prefix standardized,No,OneHot/Ordinal,Embedding,Yes,Yes,Yes
SCOPA_SCAU8,Infer_SCOPA,SCAU8,SCOPA,float64,Categorical,No,36.32,5,Auto-extracted feature SCOPA_SCAU8,Requires manual annotation,Prefix standardized,No,OneHot/Ordinal,Embedding,Yes,Yes,Yes
SCOPA_SCAU9,Infer_SCOPA,SCAU9,SCOPA,float64,Categorical,No,36.32,5,Auto-extracted feature SCOPA_SCAU9,Requires manual annotation,Prefix standardized,No,OneHot/Ordinal,Embedding,Yes,Yes,Yes
SCOPA_SCAU10,Infer_SCOPA,SCAU10,SCOPA,float64,Categorical,No,36.31,5,Auto-extracted feature SCOPA_SCAU10,Requires manual annotation,Prefix standardized,No,OneHot/Ordinal,Embedding,Yes,Yes,Yes
SCOPA_SCAU11,Infer_SCOPA,SCAU11,SCOPA,float64,Categorical,No,36.31,5,Auto-extracted feature SCOPA_SCAU11,Requires manual annotation,Prefix standardized,No,OneHot/Ordinal,Embedding,Yes,Yes,Yes
SCOPA_SCAU12,Infer_SCOPA,SCAU12,SCOPA,float64,Categorical,No,36.31,5,Auto-extracted feature SCOPA_SCAU12,Requires manual annotation,Prefix standardized,No,OneHot/Ordinal,Embedding,Yes,Yes,Yes
SCOPA_SCAU13,Infer_SCOPA,SCAU13,SCOPA,float64,Categorical,No,36.31,5,Auto-extracted feature SCOPA_SCAU13,Requires manual annotation,Prefix standardized,No,OneHot/Ordinal,Embedding,Yes,Yes,Yes
SCOPA_SCAU14,Infer_SCOPA,SCAU14,SCOPA,float64,Categorical,No,36.32,4,Auto-extracted feature SCOPA_SCAU14,Requires manual annotation,Prefix standardized,No,OneHot/Ordinal,Embedding,Yes,Yes,Yes
SCOPA_SCAU15,Infer_SCOPA,SCAU15,SCOPA,float64,Categorical,No,36.32,4,Auto-extracted feature SCOPA_SCAU15,Requires manual annotation,Prefix standardized,No,OneHot/Ordinal,Embedding,Yes,Yes,Yes
SCOPA_SCAU16,Infer_SCOPA,SCAU16,SCOPA,float64,Categorical,No,36.32,4,Auto-extracted feature SCOPA_SCAU16,Requires manual annotation,Prefix standardized,No,OneHot/Ordinal,Embedding,Yes,Yes,Yes
SCOPA_SCAU17,Infer_SCOPA,SCAU17,SCOPA,float64,Categorical,No,36.32,4,Auto-extracted feature SCOPA_SCAU17,Requires manual annotation,Prefix standardized,No,OneHot/Ordinal,Embedding,Yes,Yes,Yes
SCOPA_SCAU18,Infer_SCOPA,SCAU18,SCOPA,float64,Categorical,No,36.32,4,Auto-extracted feature SCOPA_SCAU18,Requires manual annotation,Prefix standardized,No,OneHot/Ordinal,Embedding,Yes,Yes,Yes
SCOPA_SCAU19,Infer_SCOPA,SCAU19,SCOPA,float64,Categorical,No,36.32,4,Auto-extracted feature SCOPA_SCAU19,Requires manual annotation,Prefix standardized,No,OneHot/Ordinal,Embedding,Yes,Yes,Yes
SCOPA_SCAU20,Infer_SCOPA,SCAU20,SCOPA,float64,Categorical,No,36.33,4,Auto-extracted feature SCOPA_SCAU20,Requires manual annotation,Prefix standardized,No,OneHot/Ordinal,Embedding,Yes,Yes,Yes
SCOPA_SCAU21,Infer_SCOPA,SCAU21,SCOPA,float64,Categorical,No,36.36,4,Auto-extracted feature SCOPA_SCAU21,Requires manual annotation,Prefix standardized,No,OneHot/Ordinal,Embedding,Yes,Yes,Yes
SCOPA_SCAU22,Infer_SCOPA,SCAU22,SCOPA,float64,Categorical,No,53.25,5,Auto-extracted feature SCOPA_SCAU22,Requires manual annotation,Prefix standardized,No,OneHot/Ordinal,Embedding,Yes,Yes,Yes
SCOPA_SCAU23,Infer_SCOPA,SCAU23,SCOPA,float64,Categorical,No,53.35,5,Auto-extracted feature SCOPA_SCAU23,Requires manual annotation,Prefix standardized,No,OneHot/Ordinal,Embedding,Yes,Yes,Yes
SCOPA_SCAU23A,Infer_SCOPA,SCAU23A,SCOPA,float64,Categorical,No,57.76,2,Auto-extracted feature SCOPA_SCAU23A,Requires manual annotation,Prefix standardized,No,OneHot/Ordinal,Embedding,Yes,Yes,Yes
SCOPA_SCAU23AT,Infer_SCOPA,SCAU23AT,SCOPA,str,Categorical,No,93.67,145,Auto-extracted feature SCOPA_SCAU23AT,Requires manual annotation,Prefix standardized,No,OneHot/Ordinal,Embedding,Yes,Yes,Yes
SCOPA_SCAU24,Infer_SCOPA,SCAU24,SCOPA,float64,Categorical,No,63.14,5,Auto-extracted feature SCOPA_SCAU24,Requires manual annotation,Prefix standardized,No,OneHot/Ordinal,Embedding,Yes,Yes,Yes
SCOPA_SCAU25,Infer_SCOPA,SCAU25,SCOPA,float64,Categorical,No,63.16,5,Auto-extracted feature SCOPA_SCAU25,Requires manual annotation,Prefix standardized,No,OneHot/Ordinal,Embedding,Yes,Yes,Yes
SCOPA_SCAU26A,Infer_SCOPA,SCAU26A,SCOPA,float64,Categorical,No,36.38,2,Auto-extracted feature SCOPA_SCAU26A,Requires manual annotation,Prefix standardized,No,OneHot/Ordinal,Embedding,Yes,Yes,Yes
SCOPA_SCAU26AT,Infer_SCOPA,SCAU26AT,SCOPA,str,Categorical,No,87.59,575,Auto-extracted feature SCOPA_SCAU26AT,Requires manual annotation,Prefix standardized,No,OneHot/Ordinal,Embedding,Yes,Yes,Yes
SCOPA_SCAU26B,Infer_SCOPA,SCAU26B,SCOPA,float64,Categorical,No,36.38,2,Auto-extracted feature SCOPA_SCAU26B,Requires manual annotation,Prefix standardized,No,OneHot/Ordinal,Embedding,Yes,Yes,Yes
SCOPA_SCAU26BT,Infer_SCOPA,SCAU26BT,SCOPA,str,Categorical,No,91.83,401,Auto-extracted feature SCOPA_SCAU26BT,Requires manual annotation,Prefix standardized,No,OneHot/Ordinal,Embedding,Yes,Yes,Yes
SCOPA_SCAU26C,Infer_SCOPA,SCAU26C,SCOPA,float64,Categorical,No,36.36,2,Auto-extracted feature SCOPA_SCAU26C,Requires manual annotation,Prefix standardized,No,OneHot/Ordinal,Embedding,Yes,Yes,Yes
SCOPA_SCAU26CT,Infer_SCOPA,SCAU26CT,SCOPA,str,Categorical,No,78.96,1031,Auto-extracted feature SCOPA_SCAU26CT,Requires manual annotation,Prefix standardized,No,OneHot/Ordinal,Embedding,Yes,Yes,Yes
SCOPA_SCAU26D,Infer_SCOPA,SCAU26D,SCOPA,float64,Categorical,No,36.46,2,Auto-extracted feature SCOPA_SCAU26D,Requires manual annotation,Prefix standardized,No,OneHot/Ordinal,Embedding,Yes,Yes,Yes
SCOPA_SCAU26DT,Infer_SCOPA,SCAU26DT,SCOPA,str,Categorical,No,79.66,1590,Auto-extracted feature SCOPA_SCAU26DT,Requires manual annotation,Prefix standardized,No,OneHot/Ordinal,Embedding,Yes,Yes,Yes
SCOPA_ORIG_ENTRY,Infer_SCOPA,ORIG_ENTRY,SCOPA,str,Categorical,No,36.28,187,Auto-extracted feature SCOPA_ORIG_ENTRY,Requires manual annotation,Prefix standardized,No,OneHot/Ordinal,Embedding,Yes,Yes,Yes
SCOPA_LAST_UPDATE,Infer_SCOPA,LAST_UPDATE,SCOPA,str,Categorical,No,36.28,2997,Auto-extracted feature SCOPA_LAST_UPDATE,Requires manual annotation,Prefix standardized,No,OneHot/Ordinal,Embedding,Yes,Yes,Yes
Unive_REC_ID,Infer_UPSIT,REC_ID,UPSIT,str,Categorical,No,91.25,770,Auto-extracted feature Unive_REC_ID,Requires manual annotation,Prefix standardized,No,OneHot/Ordinal,Embedding,Yes,Yes,Yes
Unive_PAG_NAME,Infer_UPSIT,PAG_NAME,UPSIT,str,Categorical,No,91.25,1,Auto-extracted feature Unive_PAG_NAME,Requires manual annotation,Prefix standardized,No,OneHot/Ordinal,Embedding,Yes,Yes,Yes
Unive_SCENT_01_CORRECT,Infer_UPSIT,SCENT_01_CORRECT,UPSIT,float64,Categorical,No,91.27,2,Auto-extracted feature Unive_SCENT_01_CORRECT,Requires manual annotation,Prefix standardized,No,OneHot/Ordinal,Embedding,Yes,Yes,Yes
Unive_SCENT_01_RESPONSE,Infer_UPSIT,SCENT_01_RESPONSE,UPSIT,float64,Categorical,No,91.27,4,Auto-extracted feature Unive_SCENT_01_RESPONSE,Requires manual annotation,Prefix standardized,No,OneHot/Ordinal,Embedding,Yes,Yes,Yes
Unive_SCENT_02_CORRECT,Infer_UPSIT,SCENT_02_CORRECT,UPSIT,float64,Categorical,No,91.26,2,Auto-extracted feature Unive_SCENT_02_CORRECT,Requires manual annotation,Prefix standardized,No,OneHot/Ordinal,Embedding,Yes,Yes,Yes
Unive_SCENT_02_RESPONSE,Infer_UPSIT,SCENT_02_RESPONSE,UPSIT,float64,Categorical,No,91.26,4,Auto-extracted feature Unive_SCENT_02_RESPONSE,Requires manual annotation,Prefix standardized,No,OneHot/Ordinal,Embedding,Yes,Yes,Yes
Unive_SCENT_03_CORRECT,Infer_UPSIT,SCENT_03_CORRECT,UPSIT,float64,Categorical,No,91.27,2,Auto-extracted feature Unive_SCENT_03_CORRECT,Requires manual annotation,Prefix standardized,No,OneHot/Ordinal,Embedding,Yes,Yes,Yes
Unive_SCENT_03_RESPONSE,Infer_UPSIT,SCENT_03_RESPONSE,UPSIT,float64,Categorical,No,91.27,4,Auto-extracted feature Unive_SCENT_03_RESPONSE,Requires manual annotation,Prefix standardized,No,OneHot/Ordinal,Embedding,Yes,Yes,Yes
Unive_SCENT_04_CORRECT,Infer_UPSIT,SCENT_04_CORRECT,UPSIT,float64,Categorical,No,91.27,2,Auto-extracted feature Unive_SCENT_04_CORRECT,Requires manual annotation,Prefix standardized,No,OneHot/Ordinal,Embedding,Yes,Yes,Yes
Unive_SCENT_04_RESPONSE,Infer_UPSIT,SCENT_04_RESPONSE,UPSIT,float64,Categorical,No,91.27,4,Auto-extracted feature Unive_SCENT_04_RESPONSE,Requires manual annotation,Prefix standardized,No,OneHot/Ordinal,Embedding,Yes,Yes,Yes
Unive_SCENT_05_CORRECT,Infer_UPSIT,SCENT_05_CORRECT,UPSIT,float64,Categorical,No,91.27,2,Auto-extracted feature Unive_SCENT_05_CORRECT,Requires manual annotation,Prefix standardized,No,OneHot/Ordinal,Embedding,Yes,Yes,Yes
Unive_SCENT_05_RESPONSE,Infer_UPSIT,SCENT_05_RESPONSE,UPSIT,float64,Categorical,No,91.27,4,Auto-extracted feature Unive_SCENT_05_RESPONSE,Requires manual annotation,Prefix standardized,No,OneHot/Ordinal,Embedding,Yes,Yes,Yes
Unive_SCENT_06_CORRECT,Infer_UPSIT,SCENT_06_CORRECT,UPSIT,float64,Categorical,No,91.29,2,Auto-extracted feature Unive_SCENT_06_CORRECT,Requires manual annotation,Prefix standardized,No,OneHot/Ordinal,Embedding,Yes,Yes,Yes
Unive_SCENT_06_RESPONSE,Infer_UPSIT,SCENT_06_RESPONSE,UPSIT,float64,Categorical,No,91.29,4,Auto-extracted feature Unive_SCENT_06_RESPONSE,Requires manual annotation,Prefix standardized,No,OneHot/Ordinal,Embedding,Yes,Yes,Yes
Unive_SCENT_07_CORRECT,Infer_UPSIT,SCENT_07_CORRECT,UPSIT,float64,Categorical,No,91.29,2,Auto-extracted feature Unive_SCENT_07_CORRECT,Requires manual annotation,Prefix standardized,No,OneHot/Ordinal,Embedding,Yes,Yes,Yes
Unive_SCENT_07_RESPONSE,Infer_UPSIT,SCENT_07_RESPONSE,UPSIT,float64,Categorical,No,91.29,4,Auto-extracted feature Unive_SCENT_07_RESPONSE,Requires manual annotation,Prefix standardized,No,OneHot/Ordinal,Embedding,Yes,Yes,Yes
Unive_SCENT_08_CORRECT,Infer_UPSIT,SCENT_08_CORRECT,UPSIT,float64,Categorical,No,91.3,2,Auto-extracted feature Unive_SCENT_08_CORRECT,Requires manual annotation,Prefix standardized,No,OneHot/Ordinal,Embedding,Yes,Yes,Yes
Unive_SCENT_08_RESPONSE,Infer_UPSIT,SCENT_08_RESPONSE,UPSIT,float64,Categorical,No,91.3,4,Auto-extracted feature Unive_SCENT_08_RESPONSE,Requires manual annotation,Prefix standardized,No,OneHot/Ordinal,Embedding,Yes,Yes,Yes
Unive_SCENT_09_CORRECT,Infer_UPSIT,SCENT_09_CORRECT,UPSIT,float64,Categorical,No,91.3,2,Auto-extracted feature Unive_SCENT_09_CORRECT,Requires manual annotation,Prefix standardized,No,OneHot/Ordinal,Embedding,Yes,Yes,Yes
Unive_SCENT_09_RESPONSE,Infer_UPSIT,SCENT_09_RESPONSE,UPSIT,float64,Categorical,No,91.3,4,Auto-extracted feature Unive_SCENT_09_RESPONSE,Requires manual annotation,Prefix standardized,No,OneHot/Ordinal,Embedding,Yes,Yes,Yes
Unive_SCENT_10_CORRECT,Infer_UPSIT,SCENT_10_CORRECT,UPSIT,float64,Categorical,No,91.29,2,Auto-extracted feature Unive_SCENT_10_CORRECT,Requires manual annotation,Prefix standardized,No,OneHot/Ordinal,Embedding,Yes,Yes,Yes
Unive_SCENT_10_RESPONSE,Infer_UPSIT,SCENT_10_RESPONSE,UPSIT,float64,Categorical,No,91.29,4,Auto-extracted feature Unive_SCENT_10_RESPONSE,Requires manual annotation,Prefix standardized,No,OneHot/Ordinal,Embedding,Yes,Yes,Yes
Unive_SCENT_11_CORRECT,Infer_UPSIT,SCENT_11_CORRECT,UPSIT,float64,Categorical,No,91.31,2,Auto-extracted feature Unive_SCENT_11_CORRECT,Requires manual annotation,Prefix standardized,No,OneHot/Ordinal,Embedding,Yes,Yes,Yes
Unive_SCENT_11_RESPONSE,Infer_UPSIT,SCENT_11_RESPONSE,UPSIT,float64,Categorical,No,91.31,4,Auto-extracted feature Unive_SCENT_11_RESPONSE,Requires manual annotation,Prefix standardized,No,OneHot/Ordinal,Embedding,Yes,Yes,Yes
Unive_SCENT_12_CORRECT,Infer_UPSIT,SCENT_12_CORRECT,UPSIT,float64,Categorical,No,91.31,2,Auto-extracted feature Unive_SCENT_12_CORRECT,Requires manual annotation,Prefix standardized,No,OneHot/Ordinal,Embedding,Yes,Yes,Yes
Unive_SCENT_12_RESPONSE,Infer_UPSIT,SCENT_12_RESPONSE,UPSIT,float64,Categorical,No,91.31,4,Auto-extracted feature Unive_SCENT_12_RESPONSE,Requires manual annotation,Prefix standardized,No,OneHot/Ordinal,Embedding,Yes,Yes,Yes
Unive_SCENT_13_CORRECT,Infer_UPSIT,SCENT_13_CORRECT,UPSIT,float64,Categorical,No,91.64,2,Auto-extracted feature Unive_SCENT_13_CORRECT,Requires manual annotation,Prefix standardized,No,OneHot/Ordinal,Embedding,Yes,Yes,Yes
Unive_SCENT_13_RESPONSE,Infer_UPSIT,SCENT_13_RESPONSE,UPSIT,float64,Categorical,No,91.64,4,Auto-extracted feature Unive_SCENT_13_RESPONSE,Requires manual annotation,Prefix standardized,No,OneHot/Ordinal,Embedding,Yes,Yes,Yes
Unive_SCENT_14_CORRECT,Infer_UPSIT,SCENT_14_CORRECT,UPSIT,float64,Categorical,No,91.3,2,Auto-extracted feature Unive_SCENT_14_CORRECT,Requires manual annotation,Prefix standardized,No,OneHot/Ordinal,Embedding,Yes,Yes,Yes
Unive_SCENT_14_RESPONSE,Infer_UPSIT,SCENT_14_RESPONSE,UPSIT,float64,Categorical,No,91.3,4,Auto-extracted feature Unive_SCENT_14_RESPONSE,Requires manual annotation,Prefix standardized,No,OneHot/Ordinal,Embedding,Yes,Yes,Yes
Unive_SCENT_15_CORRECT,Infer_UPSIT,SCENT_15_CORRECT,UPSIT,float64,Categorical,No,91.31,2,Auto-extracted feature Unive_SCENT_15_CORRECT,Requires manual annotation,Prefix standardized,No,OneHot/Ordinal,Embedding,Yes,Yes,Yes
Unive_SCENT_15_RESPONSE,Infer_UPSIT,SCENT_15_RESPONSE,UPSIT,float64,Categorical,No,91.31,4,Auto-extracted feature Unive_SCENT_15_RESPONSE,Requires manual annotation,Prefix standardized,No,OneHot/Ordinal,Embedding,Yes,Yes,Yes
Unive_SCENT_16_CORRECT,Infer_UPSIT,SCENT_16_CORRECT,UPSIT,float64,Categorical,No,91.3,2,Auto-extracted feature Unive_SCENT_16_CORRECT,Requires manual annotation,Prefix standardized,No,OneHot/Ordinal,Embedding,Yes,Yes,Yes
Unive_SCENT_16_RESPONSE,Infer_UPSIT,SCENT_16_RESPONSE,UPSIT,float64,Categorical,No,91.3,4,Auto-extracted feature Unive_SCENT_16_RESPONSE,Requires manual annotation,Prefix standardized,No,OneHot/Ordinal,Embedding,Yes,Yes,Yes
Unive_SCENT_17_CORRECT,Infer_UPSIT,SCENT_17_CORRECT,UPSIT,float64,Categorical,No,91.31,2,Auto-extracted feature Unive_SCENT_17_CORRECT,Requires manual annotation,Prefix standardized,No,OneHot/Ordinal,Embedding,Yes,Yes,Yes
Unive_SCENT_17_RESPONSE,Infer_UPSIT,SCENT_17_RESPONSE,UPSIT,float64,Categorical,No,91.31,4,Auto-extracted feature Unive_SCENT_17_RESPONSE,Requires manual annotation,Prefix standardized,No,OneHot/Ordinal,Embedding,Yes,Yes,Yes
Unive_SCENT_18_CORRECT,Infer_UPSIT,SCENT_18_CORRECT,UPSIT,float64,Categorical,No,91.34,2,Auto-extracted feature Unive_SCENT_18_CORRECT,Requires manual annotation,Prefix standardized,No,OneHot/Ordinal,Embedding,Yes,Yes,Yes
Unive_SCENT_18_RESPONSE,Infer_UPSIT,SCENT_18_RESPONSE,UPSIT,float64,Categorical,No,91.34,4,Auto-extracted feature Unive_SCENT_18_RESPONSE,Requires manual annotation,Prefix standardized,No,OneHot/Ordinal,Embedding,Yes,Yes,Yes
Unive_SCENT_19_CORRECT,Infer_UPSIT,SCENT_19_CORRECT,UPSIT,float64,Categorical,No,91.31,2,Auto-extracted feature Unive_SCENT_19_CORRECT,Requires manual annotation,Prefix standardized,No,OneHot/Ordinal,Embedding,Yes,Yes,Yes
Unive_SCENT_19_RESPONSE,Infer_UPSIT,SCENT_19_RESPONSE,UPSIT,float64,Categorical,No,91.31,4,Auto-extracted feature Unive_SCENT_19_RESPONSE,Requires manual annotation,Prefix standardized,No,OneHot/Ordinal,Embedding,Yes,Yes,Yes
Unive_SCENT_20_CORRECT,Infer_UPSIT,SCENT_20_CORRECT,UPSIT,float64,Categorical,No,91.32,2,Auto-extracted feature Unive_SCENT_20_CORRECT,Requires manual annotation,Prefix standardized,No,OneHot/Ordinal,Embedding,Yes,Yes,Yes
Unive_SCENT_20_RESPONSE,Infer_UPSIT,SCENT_20_RESPONSE,UPSIT,float64,Categorical,No,91.32,4,Auto-extracted feature Unive_SCENT_20_RESPONSE,Requires manual annotation,Prefix standardized,No,OneHot/Ordinal,Embedding,Yes,Yes,Yes
Unive_SCENT_21_CORRECT,Infer_UPSIT,SCENT_21_CORRECT,UPSIT,float64,Categorical,No,91.31,2,Auto-extracted feature Unive_SCENT_21_CORRECT,Requires manual annotation,Prefix standardized,No,OneHot/Ordinal,Embedding,Yes,Yes,Yes
Unive_SCENT_21_RESPONSE,Infer_UPSIT,SCENT_21_RESPONSE,UPSIT,float64,Categorical,No,91.31,4,Auto-extracted feature Unive_SCENT_21_RESPONSE,Requires manual annotation,Prefix standardized,No,OneHot/Ordinal,Embedding,Yes,Yes,Yes
Unive_SCENT_22_CORRECT,Infer_UPSIT,SCENT_22_CORRECT,UPSIT,float64,Categorical,No,91.3,2,Auto-extracted feature Unive_SCENT_22_CORRECT,Requires manual annotation,Prefix standardized,No,OneHot/Ordinal,Embedding,Yes,Yes,Yes
Unive_SCENT_22_RESPONSE,Infer_UPSIT,SCENT_22_RESPONSE,UPSIT,float64,Categorical,No,91.3,4,Auto-extracted feature Unive_SCENT_22_RESPONSE,Requires manual annotation,Prefix standardized,No,OneHot/Ordinal,Embedding,Yes,Yes,Yes
Unive_SCENT_23_CORRECT,Infer_UPSIT,SCENT_23_CORRECT,UPSIT,float64,Categorical,No,91.31,2,Auto-extracted feature Unive_SCENT_23_CORRECT,Requires manual annotation,Prefix standardized,No,OneHot/Ordinal,Embedding,Yes,Yes,Yes
Unive_SCENT_23_RESPONSE,Infer_UPSIT,SCENT_23_RESPONSE,UPSIT,float64,Categorical,No,91.31,4,Auto-extracted feature Unive_SCENT_23_RESPONSE,Requires manual annotation,Prefix standardized,No,OneHot/Ordinal,Embedding,Yes,Yes,Yes
Unive_SCENT_24_CORRECT,Infer_UPSIT,SCENT_24_CORRECT,UPSIT,float64,Categorical,No,91.29,2,Auto-extracted feature Unive_SCENT_24_CORRECT,Requires manual annotation,Prefix standardized,No,OneHot/Ordinal,Embedding,Yes,Yes,Yes
Unive_SCENT_24_RESPONSE,Infer_UPSIT,SCENT_24_RESPONSE,UPSIT,float64,Categorical,No,91.29,4,Auto-extracted feature Unive_SCENT_24_RESPONSE,Requires manual annotation,Prefix standardized,No,OneHot/Ordinal,Embedding,Yes,Yes,Yes
Unive_SCENT_25_CORRECT,Infer_UPSIT,SCENT_25_CORRECT,UPSIT,float64,Categorical,No,91.3,2,Auto-extracted feature Unive_SCENT_25_CORRECT,Requires manual annotation,Prefix standardized,No,OneHot/Ordinal,Embedding,Yes,Yes,Yes
